state,institutional_births,anc_4visits,full_vaccination,stunting,underweight,women_anaemia,child_anaemia,clean_fuel,sanitation,health_insurance,women_literacy,child_marriage,oop_delivery_cost,institutional_births_score,anc_4visits_score,full_vaccination_score,clean_fuel_score,sanitation_score,health_insurance_score,women_literacy_score,stunting_score,underweight_score,women_anaemia_score,child_anaemia_score,child_marriage_score,health_access_score,rank
Telangana,96.69677419354838,70.0,81.24615384615385,33.17741935483871,32.76774193548387,58.4483870967742,70.19999999999999,90.3741935483871,74.60967741935484,62.29354838709677,64.09354838709677,24.296774193548387,3955.1666666666665,94.50933185282808,68.5941932757892,60.37919826652221,88.18922242197235,56.15261517729303,69.75484142386038,16.03382140324345,49.64633440084741,31.50121974243993,51.23467199884362,39.42542787286065,42.17710452227628,55.63316519656471,21
Odisha,92.35333333333332,79.91000000000001,91.50588235294117,31.653333333333332,30.246666666666666,64.30333333333333,64.65666666666667,32.34,59.65,48.32666666666667,70.29666666666667,20.38,4172.366666666667,86.82429896520294,81.75408945494056,82.0546810273405,7.880236507736825,30.11314186248913,53.59626980788108,31.450479153625054,57.36381770753415,40.366129193945135,42.48941996514813,49.59046454767726,52.02540858863232,51.29236973184609,22
Rajasthan,95.28484848484848,56.72727272727273,80.43030303030302,31.742424242424242,28.400000000000002,55.43333333333333,72.2,38.30909090909091,68.57575757575758,88.43636363636364,64.5969696969697,26.478787878787877,2053.3636363636365,92.01115221703931,50.96879338443893,58.655569782330346,16.140395018241286,45.64970857399058,100.0,17.28497827125301,56.91268988798528,46.859601637865204,55.73811301966643,35.75794621026894,36.69066767723555,51.055801306692906,23
Maharastra,94.78888888888889,71.09444444444445,72.59444444444445,35.108333333333334,36.43611111111111,54.702777777777776,70.33888888888889,73.48888888888888,71.65,21.01388888888889,82.79722222222222,21.71388888888889,2895.6857142857143,91.13363001090202,70.04755102177688,42.10093896713617,64.82296864734907,51.00087032201917,21.99755761230309,62.51820638435481,39.868804664723044,18.602056842045727,56.82930877105635,39.17074164629177,48.67148959321263,50.563677040264224,24
Meghalaya,62.83636363636364,46.10909090909091,69.6375,42.981818181818184,25.436363636363637,54.945454545454545,41.95454545454545,26.645454545454548,83.38181818181819,68.2909090909091,85.95454545454545,17.70909090909091,3216.7272727272725,34.598681035869404,36.86847347135872,35.85387323943662,0.0,71.42178969855212,76.69331089608751,70.36512618924866,1.4210854715202004e-14,57.280697880323096,56.46683413673705,91.22027117137141,58.74111992685407,49.12584813715322,25
Ladakh,95.05000000000001,78.8,,30.4,20.4,92.75,91.7,75.8,42.349999999999994,14.899999999999999,76.80000000000001,2.5,3806.0,91.59562489946923,80.28007484758857,,68.0211347339288,0.0,14.924274295330248,47.613263694886484,63.710296148534624,74.99016818192334,1.4210854715202004e-14,-1.4210854715202004e-14,96.98273009991398,48.91977880923412,26
Chhattisgarh,84.47037037037036,61.644444444444446,80.31304347826087,35.67407407407408,33.218518518518515,63.01111111111111,69.0,28.27777777777778,72.80740740740741,73.18518518518519,70.10740740740741,13.648148148148149,1649.1851851851852,72.87664051376451,57.498507742969615,58.40783833435394,2.258844578633223,53.01550462560037,82.35559918353357,30.98011165544264,37.004074812882536,29.91614465924505,44.41955024479296,41.62591687041564,68.95192022565807,48.27588778727435,27
Nagaland,43.28181818181818,18.345454545454547,52.666666666666664,33.163636363636364,26.527272727272727,29.20909090909091,42.981818181818184,33.49090909090909,88.2,21.099999999999998,84.50909090909092,7.372727272727272,5775.875,0.0,0.0,0.0,9.472889671656809,79.80852915578765,22.097181320992846,66.77272684803359,49.716127052324694,53.444711533406085,94.90800461674249,89.33651922649476,84.73078565714046,45.85728959021495,28
Gujarat,93.14545454545456,77.57878787878788,76.92857142857143,38.66060606060606,40.330303030303035,64.56969696969698,79.83636363636363,59.845454545454544,71.73333333333333,40.63333333333333,74.74848484848485,22.175757575757576,1683.090909090909,88.22583239504586,78.65837709502824,51.25754527162978,45.94288589759718,51.14592399187701,44.695694853456736,42.514617250436544,21.88123369648615,4.908828727275477,42.09156539253625,21.754834407646158,47.51017085431167,45.04895915277726,29
West Bengal,92.03684210526316,74.65789473684211,85.86153846153846,33.205263157894734,32.757894736842104,71.52631578947368,69.69473684210527,39.67368421052631,67.27894736842104,28.878947368421056,74.93157894736842,39.36842105263158,2747.7894736842104,86.2643177027336,74.77960307904425,70.13001083423619,18.028749064761527,43.39242361779121,31.096804906671395,42.96966242794011,49.505342303126255,31.535845652023028,31.700797924609887,40.351949556041674,4.281082511744856,43.66971579839367,30
Madhya Pradesh,90.70980392156862,57.726000000000006,79.16499999999999,35.722,33.218,55.1843137254902,72.36734693877551,37.57058823529412,64.17058823529412,38.53921568627451,67.5921568627451,23.581999999999997,1613.14,83.91633314094496,52.29504436530451,55.98239436619717,15.118438871334163,37.9818768238366,42.272967243270884,24.728940058210384,36.76139327911615,29.91796793670619,56.11006164975325,35.45107529564392,43.97432673856946,42.8759016474073,31
Assam,85.13939393939394,52.32121212121212,66.69166666666666,35.696969696969695,31.609090909090906,65.74545454545455,69.81818181818181,39.92727272727272,70.10909090909091,61.00606060606061,77.4030303030303,30.509090909090908,5405.242424242424,74.06037209801083,45.11780447073499,29.630281690140848,18.379670398792292,48.31869609937496,68.26532043191699,49.111979562605114,36.888138714132296,35.575408467351,40.33539276257723,40.12558346299177,26.556907659269882,42.697129651491515,32
Tripura,88.225,49.775,67.2,32.9625,26.1625,67.05,65.85,40.7125,71.6125,33.9875,79.3625,39.675,6943.375,79.51986488660124,41.73658477696625,30.704225352112687,19.466285067304057,50.935596170583125,37.00699411022296,53.981864728251225,50.73461715513274,54.72736946815646,38.38685586258403,47.402200488997565,3.510222986832545,42.3427234211454,33
Uttar Pradesh,84.04133333333334,42.035999999999994,70.12933333333334,39.63466666666667,32.31733333333334,50.44533333333334,66.40533333333333,47.077333333333335,68.98400000000001,15.897333333333332,68.24,16.810666666666666,2266.4133333333334,72.11752721033726,31.459648699221326,36.89295774647887,28.2740805971401,46.360313315926916,16.078109662038983,26.339029608797603,16.94890286941846,33.08500088679142,63.188449091361704,46.38386308068459,61.000110280332606,39.843999420710816,34
Jharkhand,76.17916666666666,38.80833333333333,75.20416666666667,40.1875,40.4,66.27499999999999,68.21666666666667,28.041666666666668,55.3125,51.800000000000004,63.26666666666667,32.34583333333333,1974.25,58.20666452200955,27.173497515140532,47.61443661971832,1.9321088606533294,22.563098346388173,57.61464030290282,13.97876587965257,14.14953199324843,4.66375182177805,39.544436146377905,43.062347188264056,21.938617966871803,29.370158096917134,35
Bihar,77.83684210526316,25.936842105263157,72.3578947368421,42.58947368421053,41.72631578947368,64.6842105263158,70.07631578947368,36.36578947368421,49.473684210526315,14.097368421052632,57.642105263157895,41.07105263157895,2926.5263157894738,61.139659507462554,10.080915453358443,41.601186063750916,13.451212002833849,12.399798451742939,13.995693377322146,0.0,1.9867068315256375,0.0,41.92052199206006,39.65223265988932,1.4210854715202004e-14,19.68566052832882,36
